name,lat,lng, imp
Kjugekull – Skottlinjen,56.080494,14.359754,
Kjugekull – Linds långa linje,56.079941,14.359657,1
Kjugekull – Lilla Bleau,56.079752,14.359231,
Kjugekull – Barbablocken,56.079139,14.359365,
Kjugekull – Min egen metod,56.078973,14.360021,
Kjugekull – Imperator,56.078757,14.35942,
Kjugekull – Privata stenen,56.078567,14.359767,
Kjugekull – Mr Mantle,56.079587,14.360412,
Kjugekull – Fajers dyno,56.079431,14.359958,
Kjugekull – Monolith,56.079181,14.360506,1
Kjugekull – Khrushchev,56.080284,14.360885,
Kjugekull – Kluvna stenen,56.079041,14.360652,1
Kjugekull – Ängsareten,56.078509,14.360548,
Kjugekull – Cannonball,56.078483,14.361732,
Kjugekull – Ostbågen,56.078042,14.361511,
Kjugekull – Censurblocket,56.079485,14.361571,
Kjugekull – Solväggen,56.079062,14.36222,
Kjugekull – Daniels hemliga grotta,56.078808,14.36361,
Kjugekull – Första stenen,56.076829,14.362221,
Kjugekull – Sonic,56.076295,14.363618,1
Kjugekull – Tjurstenen,56.077633,14.36584,
Kjugekull – Dement,56.076541,14.365671,
Kjugekull – En traktor,56.075526,14.363639,
Kjugekull – Daniels kluriga sva,56.075276,14.363789,
Kjugekull – Silikon,56.075447,14.364719,
Kjugekull – Bäverblocket,56.075257,14.36461,
Kjugekull – Al Greene,56.07493,14.365181,
Kjugekull – Utsikten,56.07488,14.365881,
Kjugekull – Det gåtfulla folket,56.074762,14.365579,
Kjugekull – Leksaken,56.074557,14.367003,
Kjugekull – Djingis Kahn,56.074206,14.366787,
Kjugekull – Hjärtat,56.075976,14.365709,
Kjugekull – Lustans lakej,56.075723,14.366122,
Kjugekull – Svagsinta,56.075438,14.367265,
Kjugekull – Safiren,56.074698,14.364331,
Kjugekull – Flygande mattan,56.075039,14.36768,
Kjugekull – Der Nussknacker,56.074415,14.367774,
Kjugekull – Dumbo,56.074469,14.3688,
Kjugekull – Barnblocket,56.073874,14.368751,1
Kjugekull – Baltazar,56.073593,14.368428,1
Kjugekull – Miss Tricker,56.073842,14.36915,
Kjugekull – Våroffer,56.073602,14.369181,1
Kjugekull – Flodhästen,56.073367,14.368907,
Kjugekull – Biff,56.073127,14.369494,
Kjugekull – Mocca,56.074039,14.365222,
Kjugekull – Moby Dick,56.073809,14.365412,1
Kjugekull – Maraccas,56.073961,14.366288,
Kjugekull – Safari,56.073909,14.366648,
Kjugekull – Uppvärmningen,56.073437,14.366653,
Kjugekull – Matador,56.073234,14.366854,1
Kjugekull – Yoda,56.073157,14.367337,
Kjugekull – Test Pilot,56.07383,14.368079,
Kjugekull – Snapphanegrottan,56.073491,14.367926,
Kjugekull – Lithium,56.073287,14.367993,1
Kjugekull – Grodan Boll,56.072726,14.367552,
Kjugekull – Kapten Hook,56.072841,14.367876,
